section,claim_text,value,units,source_file,obtained_via,git_commit,notes
R4-generator,row2371 full-ablation GC fraction,0.3065,GC fraction,audit/rederivations/scripts/section1_final_plots.py / audit/rederivations/generator_random_direction_full.csv,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),reference line used in Fig.4C replacement
R4-generator,GENERator random_direction @ x=0.0,GC=0.3065,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=8.7543, GC 95% CI [0.3010, 0.3121], n_prompts=288"
R4-generator,GENERator random_direction @ x=0.0125,GC=0.3068,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=8.7536, GC 95% CI [0.3013, 0.3127], n_prompts=288"
R4-generator,GENERator random_direction @ x=0.5,GC=0.3071,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=8.7333, GC 95% CI [0.3014, 0.3126], n_prompts=288"
R4-generator,GENERator random_direction @ x=1.0,GC=0.3078,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=8.7117, GC 95% CI [0.3018, 0.3138], n_prompts=288"
R4-generator,GENERator random_direction @ x=3.0,GC=0.3130,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=8.6082, GC 95% CI [0.3067, 0.3198], n_prompts=288"
R4-generator,GENERator random_direction @ x=8.0,GC=0.3402,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=8.3751, GC 95% CI [0.3317, 0.3491], n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=0.0,GC=0.3065,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=8.7543, n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=0.25,GC=0.3564,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=7.7909, n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=0.5,GC=0.3982,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.6593, n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=0.75,GC=0.4178,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.4129, n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=1.0,GC=0.4204,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.3854, n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=1.5,GC=0.4252,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.4911, n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=2.0,GC=0.4120,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.6376, n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=3.0,GC=0.3649,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.9816, n_prompts=288"
R4-generator,GENERator row2371_own_alpha_sweep @ x=5.0,GC=0.3764,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=7.1377, n_prompts=288"
R4-generator,GENERator control_row_2621 @ x=matched,GC=0.4202,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.3857, n_prompts=288"
R4-generator,GENERator control_row_456 @ x=matched,GC=0.4212,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.3860, n_prompts=288"
R4-generator,GENERator control_row_102 @ x=matched,GC=0.4208,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.3856, n_prompts=288"
R4-generator,GENERator control_row_3039 @ x=matched,GC=0.4202,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.3864, n_prompts=288"
R4-generator,GENERator control_row_1126 @ x=matched,GC=0.4198,GC fraction,audit/rederivations/generator_random_direction_full.csv,RECOMPUTED/STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"NLL=6.3869, n_prompts=288"
R4-generator,random-direction c=0.0 fraction of full-ablation damage,1.000,fraction,audit/rederivations/AUDIT_ROUND2_REPORT.md,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),(NLL(c)-baseline)/(target-baseline)
R4-generator,random-direction c=0.0125 fraction of full-ablation damage,1.000,fraction,audit/rederivations/AUDIT_ROUND2_REPORT.md,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),(NLL(c)-baseline)/(target-baseline)
R4-generator,random-direction c=0.5 fraction of full-ablation damage,0.991,fraction,audit/rederivations/AUDIT_ROUND2_REPORT.md,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),(NLL(c)-baseline)/(target-baseline)
R4-generator,random-direction c=1.0 fraction of full-ablation damage,0.982,fraction,audit/rederivations/AUDIT_ROUND2_REPORT.md,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),(NLL(c)-baseline)/(target-baseline)
R4-generator,random-direction c=3.0 fraction of full-ablation damage,0.938,fraction,audit/rederivations/AUDIT_ROUND2_REPORT.md,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),(NLL(c)-baseline)/(target-baseline)
R4-generator,random-direction c=8.0 fraction of full-ablation damage,0.840,fraction,audit/rederivations/AUDIT_ROUND2_REPORT.md,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),(NLL(c)-baseline)/(target-baseline)
R4-generator,row 2371 (primary) GC span (alpha=0 vs alpha=1),0.10167,GC fraction span,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),qualitative_check passes: substantially exceeds random-row span
R4-generator,5 random control rows GC span (alpha=0 vs alpha=1),0.000260,GC fraction span,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=120 (5 rows), matches C-040 direction"
R4-generator,GENERator dose-response: primary_2371 @ alpha=1.0,GC_mean=0.39605,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=24, sd=0.07013"
R4-generator,GENERator dose-response: primary_2371 @ alpha=0.5,GC_mean=0.38628,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=24, sd=0.04747"
R4-generator,GENERator dose-response: primary_2371 @ alpha=0.0,GC_mean=0.29438,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=24, sd=0.04210"
R4-generator,GENERator dose-response: secondary_1522 @ alpha=1.0,GC_mean=0.39605,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=24, sd=0.07013"
R4-generator,GENERator dose-response: secondary_1522 @ alpha=0.5,GC_mean=0.41309,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=24, sd=0.07429"
R4-generator,GENERator dose-response: secondary_1522 @ alpha=0.0,GC_mean=0.34657,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=24, sd=0.05623"
R4-generator,GENERator dose-response: random_control @ alpha=1.0,GC_mean=0.39605,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),n=120
R4-generator,GENERator dose-response: random_control @ alpha=0.5,GC_mean=0.39625,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),n=120
R4-generator,GENERator dose-response: random_control @ alpha=0.0,GC_mean=0.39599,GC fraction,paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),n=120
Methods/Availability,NTv3 checkpoint revision recoverability,unrecoverable (unpinned E5/E6 original),boolean/status,audit/detector_provenance.csv,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),only model in the 22-cohort without a resolved commit hash; note explicitly in Data Availability
Methods/Availability,artifacts cited in verification_table.csv but not committed to git,23 files,count,this session's fresh-clone check (Section 5),RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"all of audit/rederivations/* (untracked) + results/experiments/E13/raw_4b/*.json (9 files, gitignored, not force-added) + PART2_EVIDENCE_PACKET.md (untracked) -- must be committed before Data Availability section is truthful"
